Nombre de Archivo,Folio,Matrícula matriz,Matrículas derivadas,Área de Terreno,Servidumbre,Dirección,Dirección Corregida
148-674  B.pdf,674,148-32875,,,NO,CL 11 # 7 BARR SAN PEDRO,CL 11 N 7 BR SAN PEDRO
148-69 B.pdf,69,,,,NO,CL 19 # 8 Y 9,CL 19 N 8 Y 9
148-7 B.pdf,7,,,,NO,CL 8 A # 14 - 13,CL 8 A N 14 - 13
148-744 B.pdf,744,148-2781,,,NO,BR MARIA AUXILIADORA,BR MARIA AUXILIADORA
148-784 B.pdf,784,,,,NO,CALLE 16 8-17,CL 16 8-17
148-855 B.pdf,855,,,,NO,,
148-867 B.pdf,867,,,,NO,CASA-LOTE CALLE 17 CRA. 8,CA-LO CL 17 CR 8
148-883 B.pdf,883,,,,NO,CL 14 # 14 - 25,CL 14 N 14 - 25
148-885 B.pdf,885,,,,NO,CL 18 # 7 - 21,CL 18 N 7 - 21
148-898 B.pdf,898,,148-51355,,NO,"LOTE O SOLAR BARRIO ""EL PRADO""","LO BR ""EL PRADO"""
148-9 B.pdf,9,,,,NO,BARRIO CALLE LARGA,BR CL LARGA
148-911 B.pdf,911,148-19377,,,NO,,
148-915 B.pdf,915,,,,NO,,
148-928 B.pdf,928,,148-44699 148-45097 148-45670 148-51890,,NO,CL 9,CL 9
148-943 B.pdf,943,,,,NO,BR EL PRADO,BR EL PRADO
148-946 B.pdf,946,,,,NO,CL 17 # 10 BARR GUAYABAL,CL 17 N 10 BR GUAYABAL
148-947 B.pdf,947,,148-47451 148-47493 148-48106 148-49387,,NO,,
148-953 B.pdf,953,148-13353,,,NO,BR GUAYABAL,BR GUAYABAL
148-958 B.pdf,958,,,,NO,KR 14 # 17 - 54 CASA LT,CR 14 N 17 - 54 CALO
148-963 B.pdf,963,,,,NO,CL 13,CL 13
148-973 B.pdf,973,,,,NO,CL 15 # 16 Y 17 BARR SAN ROQUE,CL 15 N 16 Y 17 BR SAN ROQUE
148-996 B.pdf,996,,148-2054,,NO,LT O SOLAR Y CASA,CALO
