Nombre de Archivo,Folio,Matrícula matriz,Matrículas derivadas,Área de Terreno,Servidumbre,Tipo Predio,Dirección,Dirección Corregida
018-26479 B.pdf,26479,,,,NO,R,SIN DIRECCION EL ACOMODO,SIN DIRECCION EL ACOMODO
018-26768 B.pdf,26768,,,,NO,R,SIN DIRECCION,SIN DIRECCION
018-30752 B.pdf,30752,,,8077.0,NO,R,SIN DIRECCION EL CENTRO,SIN DIRECCION EL CENTRO
018-32265 B.pdf,32265,018-22450,018-82927 018-89234,,NO,U,CL REAL,CL REAL
018-33667 B.pdf,33667,,,,NO,R,SIN DIRECCION EL DORADO,SIN DIRECCION EL DORADO
018-34637 B.pdf,34637,,018-174345 018-174344 018-174347 018-174348 018-174346,,NO,R,SIN DIRECCION LA CONFUSA,SIN DIRECCION LA CONFUSA
018-35224 B.pdf,35224,,,4000.0,NO,R,SIN DIRECCION PUCHINA,SIN DIRECCION PUCHINA
018-41092 B.pdf,41092,,,,NO,R,SIN DIRECCION,SIN DIRECCION
018-41093 B.pdf,41093,,018-181461 018-181460 018-181458 018-181459,,NO,R,SIN DIRECCION LA MILAGROSA,SIN DIRECCION LA MILAGROSA
018-44845 B.pdf,44845,,,7807.1000,NO,R,SIN DIRECCION,SIN DIRECCION
018-46287 B.pdf,46287,,,,NO,U,SIN DIRECCION,SIN DIRECCION
018-46484 b.pdf,46484,,018-68845,4000.0,NO,R,SIN DIRECCION,SIN DIRECCION
018-47091 B.pdf,47091,018-26946,,19500.0,NO,R,SIN DIRECCION,SIN DIRECCION
018-53316 B.pdf,53316,018-18461,,,NO,R,SIN DIRECCION,SIN DIRECCION
018-63823 B.pdf,63823,,,2,NO,R,SIN DIRECCION,SIN DIRECCION
018-67057 B.pdf,67057,,,,NO,R,SIN DIRECCION EL PE�OL,SIN DIRECCION EL PE OL
018-68426 B.pdf,68426,,,3929.0,NO,R,"SIN DIRECCION . ... ""LA MILAGROSA""","SIN DIRECCION . ... ""LA MILAGROSA"""
018-68845 B.pdf,68845,018-46484,,,NO,R,SIN DIRECCION EL ARENAL,SIN DIRECCION EL ARENAL
018-70359 B.pdf,70359,,018-115905,,NO,R,SIN DIRECCION CAMPO VERDE 1,SIN DIRECCION CAMPO VERDE 1
018-76517 B.pdf,76517,018-76516,,20000.0,NO,R,SIN DIRECCION,SIN DIRECCION
018-7926 B.pdf,7926,018-3408,018-24845,,NO,R,SIN DIRECCION LA SOLEDAD,SIN DIRECCION LA SOLEDAD
018-82639 B.pdf,82639,,,9995.0,NO,R,SIN DIRECCION EL PORVENIR,SIN DIRECCION EL PORVENIR
018-85099 B.pdf,85099,018-19596,,16000.0,NO,U,BR LA MILAGROSA SIN DIRECCION,BR LA MILAGROSA SIN DIRECCION
018-89683 B.pdf,89683,018-24113,,1000.0,NO,R,SIN DIRECCION,SIN DIRECCION
